1	Africa/Abidjan	GMT	0	f
2	Africa/Accra	GMT	0	f
3	Africa/Addis_Ababa	EAT	3	f
4	Africa/Algiers	CET	1	f
5	Africa/Asmara	EAT	3	f
6	Africa/Bamako	GMT	0	f
7	Africa/Bangui	WAT	1	f
8	Africa/Banjul	GMT	0	f
9	Africa/Bissau	GMT	0	f
10	Africa/Blantyre	CAT	2	f
11	Africa/Brazzaville	WAT	1	f
12	Africa/Bujumbura	CAT	2	f
13	Africa/Cairo	EET	2	f
14	Africa/Casablanca	WET	0	f
15	Africa/Ceuta	CEST	2	t
16	Africa/Conakry	GMT	0	f
17	Africa/Dakar	GMT	0	f
18	Africa/Dar_es_Salaam	EAT	3	f
19	Africa/Djibouti	EAT	3	f
20	Africa/Douala	WAT	1	f
21	Africa/El_Aaiun	WET	0	f
22	Africa/Freetown	GMT	0	f
23	Africa/Gaborone	CAT	2	f
24	Africa/Harare	CAT	2	f
25	Africa/Johannesburg	SAST	2	f
26	Africa/Kampala	EAT	3	f
27	Africa/Khartoum	EAT	3	f
28	Africa/Kigali	CAT	2	f
29	Africa/Kinshasa	WAT	1	f
30	Africa/Lagos	WAT	1	f
31	Africa/Libreville	WAT	1	f
32	Africa/Lome	GMT	0	f
33	Africa/Luanda	WAT	1	f
34	Africa/Lubumbashi	CAT	2	f
35	Africa/Lusaka	CAT	2	f
36	Africa/Malabo	WAT	1	f
37	Africa/Maputo	CAT	2	f
38	Africa/Maseru	SAST	2	f
39	Africa/Mbabane	SAST	2	f
40	Africa/Mogadishu	EAT	3	f
41	Africa/Monrovia	GMT	0	f
42	Africa/Nairobi	EAT	3	f
43	Africa/Ndjamena	WAT	1	f
44	Africa/Niamey	WAT	1	f
45	Africa/Nouakchott	GMT	0	f
46	Africa/Ouagadougou	GMT	0	f
47	Africa/Porto-Novo	WAT	1	f
48	Africa/Sao_Tome	GMT	0	f
49	Africa/Tripoli	EET	2	f
50	Africa/Tunis	CET	1	f
51	Africa/Windhoek	WAT	1	f
52	America/Adak	HADT	-9	t
53	America/Anchorage	AKDT	-8	t
54	America/Anguilla	AST	-4	f
55	America/Antigua	AST	-4	f
56	America/Araguaina	BRT	-3	f
57	America/Argentina/Buenos_Aires	ART	-3	f
58	America/Argentina/Catamarca	ART	-3	f
59	America/Argentina/Cordoba	ART	-3	f
60	America/Argentina/Jujuy	ART	-3	f
61	America/Argentina/La_Rioja	ART	-3	f
62	America/Argentina/Mendoza	ART	-3	f
63	America/Argentina/Rio_Gallegos	ART	-3	f
64	America/Argentina/San_Juan	ART	-3	f
65	America/Argentina/Tucuman	ART	-3	f
66	America/Argentina/Ushuaia	ART	-3	f
67	America/Aruba	AST	-4	f
68	America/Asuncion	PYT	-4	f
69	America/Atikokan	EST	-5	f
70	America/Bahia	BRT	-3	f
71	America/Barbados	AST	-4	f
72	America/Belem	BRT	-3	f
73	America/Belize	CST	-6	f
74	America/Blanc-Sablon	AST	-4	f
75	America/Boa_Vista	AMT	-4	f
76	America/Bogota	COT	-5	f
77	America/Boise	MDT	-6	t
78	America/Cambridge_Bay	MDT	-6	t
79	America/Campo_Grande	AMT	-4	f
80	America/Cancun	CDT	-5	t
81	America/Caracas	VET	-4.5	f
82	America/Cayenne	GFT	-3	f
83	America/Cayman	EST	-5	f
84	America/Chicago	CDT	-5	t
85	America/Chihuahua	MDT	-6	t
86	America/Costa_Rica	CST	-6	f
87	America/Cuiaba	AMT	-4	f
88	America/Curacao	AST	-4	f
89	America/Danmarkshavn	GMT	0	f
90	America/Dawson	PDT	-7	t
91	America/Dawson_Creek	MST	-7	f
92	America/Denver	MDT	-6	t
93	America/Detroit	EDT	-4	t
94	America/Dominica	AST	-4	f
95	America/Edmonton	MDT	-6	t
96	America/Eirunepe	AMT	-4	f
97	America/El_Salvador	CST	-6	f
98	America/Fortaleza	BRT	-3	f
99	America/Glace_Bay	ADT	-3	t
100	America/Godthab	WGST	-2	t
101	America/Goose_Bay	ADT	-3	t
102	America/Grand_Turk	EDT	-4	t
103	America/Grenada	AST	-4	f
104	America/Guadeloupe	AST	-4	f
105	America/Guatemala	CST	-6	f
106	America/Guayaquil	ECT	-5	f
107	America/Guyana	GYT	-4	f
108	America/Halifax	ADT	-3	t
109	America/Havana	CDT	-4	t
110	America/Hermosillo	MST	-7	f
111	America/Indiana/Indianapolis	EDT	-4	t
112	America/Indiana/Knox	CDT	-5	t
113	America/Indiana/Marengo	EDT	-4	t
114	America/Indiana/Petersburg	EDT	-4	t
115	America/Indiana/Tell_City	CDT	-5	t
116	America/Indiana/Vevay	EDT	-4	t
117	America/Indiana/Vincennes	EDT	-4	t
118	America/Indiana/Winamac	EDT	-4	t
119	America/Inuvik	MDT	-6	t
120	America/Iqaluit	EDT	-4	t
121	America/Jamaica	EST	-5	f
122	America/Juneau	AKDT	-8	t
123	America/Kentucky/Louisville	EDT	-4	t
124	America/Kentucky/Monticello	EDT	-4	t
125	America/La_Paz	BOT	-4	f
126	America/Lima	PET	-5	f
127	America/Los_Angeles	PDT	-7	t
128	America/Maceio	BRT	-3	f
129	America/Managua	CST	-6	f
130	America/Manaus	AMT	-4	f
131	America/Martinique	AST	-4	f
132	America/Mazatlan	MDT	-6	t
133	America/Menominee	CDT	-5	t
134	America/Merida	CDT	-5	t
135	America/Mexico_City	CDT	-5	t
136	America/Miquelon	PMDT	-2	t
137	America/Moncton	ADT	-3	t
138	America/Monterrey	CDT	-5	t
